% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.124201902e+02 +9.124201902e+02 +4.503301902e+02 +4.503301902e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2235 +7.661946159e+02 +7.661946159e+02 +3.041046159e+02 +3.041046159e+02 +1.7578e+00 +5.6903e-01 -8.8607e-02 -8.0661e-01 +2.9169e+00 -4.6342e-01 +2.6647e+00 +2.9307e+00 -2.7048e+00 +5.6413e-01 -4.6557e+00 -4.9510e+00 -2.9478e+00 -2.0244e+00 -5.0035e+00 -2.8490e+00 -3.5507e+00 +2.1331e+00 -8.9431e-02 +4.1510e+00
2473 +6.955613864e+02 +6.955613864e+02 +2.334713864e+02 +2.334713864e+02 +1.8871e+00 +8.1123e-01 +1.8730e-01 -6.1658e-01 +5.2294e+00 +3.9157e+00 +9.8196e-01 +2.1375e+00 -1.5309e+00 +7.8546e-01 -4.8207e+00 -3.3364e+00 -4.0743e+00 -6.4402e+00 -3.7522e+00 -3.7489e+00 -3.6037e+00 +3.7291e-01 -2.5451e+00 +4.0516e+00
2512 +5.746162081e+02 +5.746162081e+02 +1.125262081e+02 +1.125262081e+02 +6.8054e-01 +1.0197e+00 -6.0384e-01 -9.6443e-01 +2.1222e+00 -3.2807e-01 -9.6496e-01 +2.8369e+00 -1.8738e+00 -1.8235e+00 -4.0312e+00 -3.2184e+00 -4.1752e+00 -4.2183e+00 -4.6766e-01 -2.4660e+00 -2.0965e+00 +9.2446e-01 -1.0062e+00 +4.2567e+00
2659 +4.204604700e+02 +4.204604700e+02 -4.162952997e+01 -4.162952997e+01 -2.3347e+00 +1.0371e+00 +4.0986e+00 -7.9264e-01 +1.9415e-01 -2.7855e-01 +1.7385e+00 +1.9548e+00 +9.7564e-01 -1.5525e+00 -5.0865e+00 -3.2096e+00 -3.1358e+00 -2.0641e+00 -3.8023e+00 -3.6869e+00 -2.7595e+00 +8.0717e-01 -1.6464e+00 +3.8015e+00
3082 +3.935202190e+02 +3.935202190e+02 -6.856978096e+01 -6.856978096e+01 -5.2416e+00 +7.1589e-01 +4.9494e-01 -8.1927e-01 +3.6883e+00 +1.0655e+00 +2.9509e+00 +2.8153e+00 -5.3233e-02 -2.8656e+00 -5.0494e+00 -3.3253e+00 -8.6608e-01 -3.7325e+00 -1.8493e+00 -2.3599e+00 -3.3885e+00 +1.1287e+00 -1.4634e+00 +3.3340e+00
3110 +3.854215441e+02 +3.854215441e+02 -7.666845585e+01 -7.666845585e+01 -3.3154e+00 +1.4738e+00 +3.1469e+00 -5.3268e-01 +2.1405e+00 -7.9593e-01 +1.6520e+00 +2.7167e+00 -2.6539e+00 -1.6522e+00 -3.9864e+00 -4.1373e+00 -4.9182e-01 -3.3722e+00 -3.2097e+00 -3.1137e+00 -2.8472e+00 +1.3086e+00 -2.2236e+00 +3.5229e+00
3407 +3.605772519e+02 +3.605772519e+02 -1.015127481e+02 -1.015127481e+02 -4.2168e+00 +2.7141e+00 +6.1325e-01 +2.3568e+00 +1.8938e+00 +4.4222e+00 +1.9434e+00 +1.0098e+00 +2.4861e+00 +2.0832e+00 -3.9206e+00 -3.9482e+00 -5.9681e-01 -2.5978e+00 -1.7170e+00 -3.3735e+00 -3.5229e+00 +1.4362e+00 -2.1675e+00 +2.7140e+00
3548 +2.832092652e+02 +2.832092652e+02 -1.788807348e+02 -1.788807348e+02 -4.4113e+00 +3.5651e+00 +5.0608e+00 -6.7213e-01 +8.7819e-01 -9.0683e-01 +6.1748e+00 +2.1398e+00 -2.1329e-01 -5.7294e-01 -2.7708e+00 -2.7951e+00 -1.1415e+00 -2.0036e+00 -1.9744e+00 -3.0152e+00 -1.3577e+00 +1.8118e+00 -1.6648e+00 +3.2068e+00
4460 +2.814132420e+02 +2.814132420e+02 -1.806767580e+02 -1.806767580e+02 +9.9903e-01 +9.9720e-02 +4.6717e-01 +7.4251e-01 +5.6738e+00 +2.7338e+00 +1.0350e+00 +1.9617e+00 +1.2670e+00 +6.8598e-01 -4.7623e+00 -1.8327e+00 -1.1194e+00 -3.7961e+00 -1.7535e+00 -5.0926e+00 -9.8151e-01 +2.6900e+00 -3.8057e+00 +7.2440e-01
4829 +2.664183329e+02 +2.664183329e+02 -1.956716671e+02 -1.956716671e+02 -4.2563e+00 +5.2498e+00 +5.4614e-01 -7.3998e-01 +4.3287e+00 +4.8161e-01 +1.7222e+00 -2.5151e-01 +1.1732e+00 -1.2280e+00 -2.9834e+00 -4.3368e+00 +3.4718e-01 -2.8180e+00 -2.9935e+00 -3.4959e+00 -1.7225e+00 +1.7022e+00 -1.7734e+00 +1.6417e+00
12422 +2.358968675e+02 +2.358968675e+02 -2.261931325e+02 -2.261931325e+02 -3.9412e+00 +2.3689e+00 +4.5335e+00 +9.0604e-01 +2.4525e+00 +2.5197e+00 +5.0291e-01 +5.6040e+00 +1.6854e+00 -6.2572e-01 -3.1220e+00 -3.6735e+00 +8.9355e-01 -3.0857e+00 -2.4333e+00 -4.4606e+00 -1.7624e+00 +3.5833e+00 -2.1029e+00 +2.5007e+00
12591 +2.282725576e+02 +2.282725576e+02 -2.338174424e+02 -2.338174424e+02 -2.7476e+00 +1.2828e+00 +1.2667e+00 -2.2615e-01 +3.1336e+00 +3.7683e-01 +1.7760e+00 +2.6109e+00 +2.1519e+00 +8.3791e-01 -3.8763e+00 -4.6207e+00 +5.1489e-02 -3.8840e+00 -2.1984e+00 -5.1904e+00 -1.0373e+00 +3.0094e+00 -2.9796e+00 +2.1026e+00
13567 +2.020616160e+02 +2.020616160e+02 -2.600283840e+02 -2.600283840e+02 -2.1266e+00 +1.5540e+00 +3.7561e+00 +2.4863e-01 +1.4534e+00 -6.2387e-03 +1.4370e+00 +2.0468e+00 +1.2920e+00 -6.7412e-01 -4.2999e+00 -3.1408e+00 +1.8854e-01 -3.3820e+00 -1.7772e+00 -5.0652e+00 -2.4596e-01 +2.7328e+00 -3.4619e+00 +1.7835e+00
14237 +1.876831163e+02 +1.876831163e+02 -2.744068837e+02 -2.744068837e+02 -2.3987e-01 +2.4159e+00 +1.6282e+00 +5.1467e+00 +1.4167e+00 +2.3128e+00 +2.4948e+00 +1.4245e+00 +3.6760e+00 +8.3352e-02 -4.1566e+00 -4.0182e+00 +8.2866e-01 -3.2953e+00 -2.1607e+00 -3.5058e+00 -3.2218e-01 +3.3039e+00 -2.6635e+00 +1.4857e+00
15082 +1.697130709e+02 +1.697130709e+02 -2.923769291e+02 -2.923769291e+02 -5.9714e+00 +6.5472e-01 +4.0487e+00 +1.4062e+00 +1.4558e+00 +8.5516e-01 +1.6583e+00 +2.5381e+00 +1.0408e+00 +3.7689e-02 -3.0633e+00 -3.8051e+00 -7.6987e-01 -2.2720e+00 -9.9660e-01 -4.1343e+00 -3.6277e-01 +2.5669e+00 -2.1082e+00 +1.6099e+00
15371 +1.548298542e+02 +1.548298542e+02 -3.072601458e+02 -3.072601458e+02 +4.0016e-01 +5.3871e-01 +2.1375e+00 +6.8600e-01 +8.4380e-01 +3.1234e+00 +2.5729e+00 +8.6766e-01 +1.2083e+00 +6.9077e-01 -2.3150e+00 -4.1399e+00 -6.8478e-01 -2.8034e+00 -1.4673e+00 -3.4993e+00 -6.5848e-01 +2.0452e+00 -2.9345e+00 +1.8721e+00
16286 +1.149120337e+02 +1.149120337e+02 -3.471779663e+02 -3.471779663e+02 -2.5601e+00 +2.4307e+00 +1.2560e+00 +6.3715e-01 +1.3022e+00 +2.7732e+00 +1.6666e+00 +2.3807e+00 +1.1879e+00 +6.4160e-01 -2.7543e+00 -5.7378e+00 +1.2097e+00 -3.0267e+00 -1.3801e+00 -4.9919e+00 -3.2380e-01 +3.3790e+00 -2.4296e+00 +1.8592e+00
84257 +1.073474031e+02 +1.073474031e+02 -3.547425969e+02 -3.547425969e+02 +5.1949e-01 +5.9049e-01 +2.9952e+00 +1.0834e-01 +3.0870e+00 +2.1572e+00 +2.5308e+00 +2.7358e+00 +1.0136e+00 -1.2033e-02 -3.1720e+00 -3.8527e+00 +4.1665e-01 -3.5071e+00 -1.8885e+00 -3.5956e+00 -6.7305e-01 +3.7423e+00 -2.0893e+00 +2.1757e+00
% function evaluation | noise-free fitness - Fopt (7.766000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.473743362e+02 +9.473743362e+02 +1.025034336e+03 +1.025034336e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
