% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.100943907e+07 +1.100943907e+07 +1.100922919e+07 +1.100922919e+07 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +9.339818655e+06 +9.339818655e+06 +9.339608775e+06 +9.339608775e+06 -4.4434e+00 -4.0560e+00 -4.5671e+00 +1.5901e+00 -2.5372e+00 -2.4674e+00 -1.9402e+00 -1.9123e-01 -2.3074e+00 -1.2232e+00 +1.4864e+00 -3.7928e-01 +3.1851e+00 -4.8187e+00 +4.1435e+00 +2.5426e+00 +2.8357e+00 +1.9352e-01 -1.8038e+00 +1.6506e+00
3 +9.319447272e+06 +9.319447272e+06 +9.319237392e+06 +9.319237392e+06 -4.4441e+00 -4.0561e+00 -4.5731e+00 +1.5909e+00 -2.5191e+00 -2.4701e+00 -1.9263e+00 -1.8688e-01 -2.3118e+00 -1.2420e+00 +1.5002e+00 -3.5731e-01 +3.2044e+00 -4.8215e+00 +4.1478e+00 +2.5395e+00 +2.8004e+00 +1.7385e-01 -1.7993e+00 +1.6344e+00
237 +9.036355964e+06 +9.036355964e+06 +9.036146084e+06 +9.036146084e+06 -4.4372e+00 -4.0575e+00 -4.6055e+00 +1.6091e+00 -2.5094e+00 -2.4562e+00 -1.9454e+00 -1.9000e-01 -2.2890e+00 -1.2235e+00 +1.4987e+00 -3.7154e-01 +3.1665e+00 -4.8011e+00 +4.1471e+00 +2.5205e+00 +2.7862e+00 +3.4535e-01 -1.8031e+00 +1.6532e+00
427 +8.757080516e+06 +8.757080516e+06 +8.756870636e+06 +8.756870636e+06 -4.4573e+00 -4.0505e+00 -4.5855e+00 +1.6172e+00 -2.4875e+00 -2.5852e+00 -1.8700e+00 -1.9025e-01 -2.3147e+00 -1.2256e+00 +1.5158e+00 -3.9006e-01 +3.1648e+00 -4.7939e+00 +4.1125e+00 +2.4629e+00 +2.6692e+00 +3.6454e-01 -1.8058e+00 +1.6505e+00
510 +8.635835684e+06 +8.635835684e+06 +8.635625804e+06 +8.635625804e+06 -4.4600e+00 -4.0516e+00 -4.6202e+00 +1.5993e+00 -2.5145e+00 -2.5582e+00 -1.9464e+00 -2.1324e-01 -2.2174e+00 -1.2506e+00 +1.5072e+00 -3.8778e-01 +3.1696e+00 -4.8194e+00 +4.1199e+00 +2.4999e+00 +2.7060e+00 +5.4309e-01 -1.7978e+00 +1.6969e+00
615 +8.488645300e+06 +8.488645300e+06 +8.488435420e+06 +8.488435420e+06 -4.4414e+00 -4.0522e+00 -4.5869e+00 +1.6027e+00 -2.5260e+00 -2.5068e+00 -1.9385e+00 -2.0396e-01 -2.2761e+00 -1.2494e+00 +1.4496e+00 -4.6003e-01 +3.1803e+00 -4.8161e+00 +4.1379e+00 +2.4902e+00 +2.4612e+00 +3.4324e-01 -1.7957e+00 +1.7192e+00
711 +8.125517024e+06 +8.125517024e+06 +8.125307144e+06 +8.125307144e+06 -4.4523e+00 -4.0350e+00 -4.5772e+00 +1.6042e+00 -2.4530e+00 -2.4406e+00 -1.9268e+00 -1.9262e-01 -2.2538e+00 -1.2101e+00 +1.4739e+00 -3.8236e-01 +3.1658e+00 -4.8218e+00 +4.0453e+00 +2.4649e+00 +2.4810e+00 +6.0945e-01 -1.8107e+00 +1.8012e+00
740 +7.865716313e+06 +7.865716313e+06 +7.865506433e+06 +7.865506433e+06 -4.4288e+00 -4.0389e+00 -4.5876e+00 +1.5747e+00 -2.5795e+00 -2.4542e+00 -1.9277e+00 -1.6445e-01 -2.3143e+00 -1.2341e+00 +1.4882e+00 -4.2155e-01 +3.1510e+00 -4.8461e+00 +4.0692e+00 +2.4216e+00 +2.5656e+00 +1.0452e+00 -1.8195e+00 +1.7718e+00
827 +7.758269988e+06 +7.758269988e+06 +7.758060108e+06 +7.758060108e+06 -4.4522e+00 -4.0237e+00 -4.6466e+00 +1.5995e+00 -2.4612e+00 -3.1855e+00 -1.8502e+00 -1.4496e-01 -2.2847e+00 -1.2538e+00 +1.4706e+00 -3.7833e-01 +3.1396e+00 -4.8270e+00 +3.9405e+00 +2.3601e+00 +2.0998e+00 +4.4535e-01 -1.8313e+00 +1.6116e+00
