% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.423771670e+02 +6.423771670e+02 +1.642377167e+03 +1.642377167e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1592 +6.131168939e+02 +6.131168939e+02 +1.613116894e+03 +1.613116894e+03 +6.8687e-01 +4.9708e+00 +2.2661e+00 -1.8907e+00 +2.5842e+00 -4.8896e+00 +5.9708e-01 -3.2038e+00 -8.1149e-01 +1.4171e+00 +2.7831e+00 +3.3625e+00 +1.9137e+00 -3.0013e+00 +2.4319e+00 +3.9574e+00 +4.0181e+00 -2.6445e-01 +1.9187e+00 -2.3720e+00
1615 +5.977475358e+02 +5.977475358e+02 +1.597747536e+03 +1.597747536e+03 -1.2577e-01 +5.2038e+00 +5.1280e+00 -2.4075e-01 +1.6302e+00 -3.9161e+00 +4.9011e-01 -2.9402e+00 +3.1517e+00 +1.1604e+00 +2.2416e+00 +2.9327e+00 +1.8263e+00 -2.4928e+00 +2.8003e+00 +4.4267e+00 +4.0787e+00 -3.7960e-01 +1.8136e+00 -3.0180e+00
1652 +5.451021280e+02 +5.451021280e+02 +1.545102128e+03 +1.545102128e+03 +3.2222e-01 +5.0565e+00 +6.1517e+00 -7.4754e-01 +2.3852e+00 -1.2970e+00 +7.4999e-01 -2.9424e+00 +1.7038e+00 +1.5126e+00 +2.5509e+00 +1.2427e+00 +1.9013e+00 -2.6510e+00 +2.8671e+00 +4.4686e+00 +4.0550e+00 +1.3559e-01 +1.7892e+00 -2.5262e+00
1805 +4.492456931e+02 +4.492456931e+02 +1.449245693e+03 +1.449245693e+03 +1.1308e+00 +5.3344e+00 +5.5390e+00 +3.0427e+00 +2.4874e+00 -3.7002e+00 +3.8400e-01 -2.9554e+00 +1.5009e+00 +2.0471e+00 +1.6606e+00 +2.1370e+00 +2.0022e+00 -2.6720e+00 +3.0428e+00 +4.1795e+00 +4.0745e+00 -7.0456e-01 +1.6660e+00 -3.9525e+00
1815 +4.085007582e+02 +4.085007582e+02 +1.408500758e+03 +1.408500758e+03 -1.3229e-01 +5.0167e+00 +6.5816e+00 +5.0440e+00 +2.3547e+00 -3.9726e+00 +5.8750e-01 -2.8375e+00 +1.0591e+00 +1.6522e+00 +1.9969e+00 +2.5513e+00 +1.8673e+00 -3.0496e+00 +3.0930e+00 +4.4880e+00 +3.9678e+00 -2.3026e+00 +1.7395e+00 -2.2430e+00
1995 +3.672605507e+02 +3.672605507e+02 +1.367260551e+03 +1.367260551e+03 -1.6174e+00 +5.0748e+00 +3.1059e+00 +4.9271e+00 +2.6300e+00 -4.5506e+00 -4.3221e-02 -2.9940e+00 -1.6124e+00 +1.6223e+00 +1.8349e+00 +1.9621e+00 +1.7477e+00 -2.6355e+00 +2.7741e+00 +3.6841e+00 +4.5415e+00 -5.7318e-01 +1.4615e+00 -1.6433e+00
2049 +3.486667047e+02 +3.486667047e+02 +1.348666705e+03 +1.348666705e+03 -1.8756e+00 +5.1098e+00 +4.2043e+00 +2.4465e+00 +2.5994e+00 -2.4217e+00 +4.4801e-01 -2.8763e+00 -8.2719e-01 +1.7257e+00 +1.6704e+00 +1.1891e+00 +1.9876e+00 -2.8749e+00 +2.3021e+00 +3.1597e+00 +4.0189e+00 -7.6357e-01 +1.7313e+00 -1.4914e+00
2240 +3.248862883e+02 +3.248862883e+02 +1.324886288e+03 +1.324886288e+03 -1.5993e-01 +4.0116e+00 +3.7613e+00 +3.8913e+00 +2.5266e+00 -4.2915e+00 +5.4022e-01 -2.8134e+00 -2.7566e+00 +1.6616e+00 +1.1559e+00 +1.5153e-01 +1.8139e+00 -3.0144e+00 +3.9087e+00 +3.7340e+00 +4.0553e+00 -6.0271e-01 +6.4302e-01 -3.3129e+00
2280 +2.990869946e+02 +2.990869946e+02 +1.299086995e+03 +1.299086995e+03 -2.0020e+00 +4.0702e+00 +6.2325e+00 +2.4229e+00 +2.8786e+00 -4.6557e+00 +6.5752e-01 -3.1486e+00 -1.4462e+00 +1.8297e+00 +1.7622e+00 +2.1055e+00 +5.3243e-01 -3.5353e+00 +3.5738e+00 +4.2991e+00 +4.2492e+00 -2.3576e+00 +2.1045e+00 -2.6369e+00
2440 +2.724406895e+02 +2.724406895e+02 +1.272440689e+03 +1.272440689e+03 -3.1781e+00 +4.7398e+00 +4.9299e+00 +2.7566e+00 +2.3828e+00 -3.8206e+00 +8.9959e-03 -2.8826e+00 -2.0946e+00 +1.3000e+00 +9.8515e-01 +1.0663e+00 +7.6110e-01 -2.5094e+00 +2.4890e+00 +5.1175e+00 +4.0696e+00 -2.0982e+00 +7.7394e-01 -1.7588e+00
