% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.960016909e+06 +4.960016909e+06 +4.959961969e+06 +4.959961969e+06 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
917 +3.592502139e+06 +3.592502139e+06 +3.592447199e+06 +3.592447199e+06 -1.2626e-01 -6.1245e-01 -9.3525e-01 +3.2291e+00 +3.2632e+00 -4.3547e+00 -7.4470e-01 -7.4380e-01 -4.1800e+00 +1.1903e-01 +2.5216e+00 +1.3620e+00 -3.4662e+00 -4.5238e+00 +3.9820e+00 -3.4125e+00 +2.6397e+00 -4.7555e+00 -3.4644e+00 +3.2689e+00
1005 +2.811124174e+06 +2.811124174e+06 +2.811069234e+06 +2.811069234e+06 -1.5987e-01 -6.7826e+00 -8.2729e-01 +3.2702e+00 +3.3542e+00 -4.3393e+00 -7.5315e-01 -8.9827e-01 -4.1552e+00 +2.5707e-03 +2.5179e+00 +1.2726e+00 -3.4719e+00 -4.4482e+00 +4.0319e+00 -3.4431e+00 -2.0232e+00 -4.8405e+00 -3.4781e+00 +3.6574e+00
1021 +2.644416989e+06 +2.644416989e+06 +2.644362049e+06 +2.644362049e+06 -1.3388e-01 -4.8818e+00 -9.0261e-01 +3.1926e+00 +3.3566e+00 -4.3199e+00 -7.8118e-01 -8.2878e-01 -4.1071e+00 +1.1526e-02 +2.5096e+00 +1.4204e+00 -3.4734e+00 -4.5740e+00 +3.9578e+00 -3.4320e+00 -2.8768e+00 -4.7140e+00 -3.4543e+00 +3.9223e+00
1048 +2.192712195e+06 +2.192712195e+06 +2.192657255e+06 +2.192657255e+06 -1.6192e-01 -4.8364e+00 -8.7841e-01 +2.9474e+00 +3.3063e+00 -4.2946e+00 -8.1208e-01 -7.5188e-01 -4.1270e+00 -2.2394e-02 +2.5241e+00 +1.4184e+00 -3.4655e+00 -4.5365e+00 +4.0133e+00 -3.4321e+00 -3.0951e+00 -4.7163e+00 -3.4769e+00 +2.3543e+00
1078 +2.154079045e+06 +2.154079045e+06 +2.154024105e+06 +2.154024105e+06 -1.5841e-01 -4.1946e+00 -1.0388e+00 +3.1861e+00 +3.2955e+00 -4.1172e+00 -7.7994e-01 -8.2917e-01 -4.0918e+00 -1.4315e-02 +2.5297e+00 +8.4198e-01 -3.4583e+00 -4.5653e+00 +4.0025e+00 -3.4361e+00 -1.5008e+00 -4.7340e+00 -3.4373e+00 +3.3586e+00
1112 +2.089372881e+06 +2.089372881e+06 +2.089317941e+06 +2.089317941e+06 -1.6120e-01 -5.2482e+00 -7.1065e-01 +3.2027e+00 +3.3117e+00 -4.2375e+00 -7.7566e-01 -7.8189e-01 -4.1452e+00 +2.4098e-02 +2.5153e+00 +1.1907e+00 -3.4695e+00 -4.5009e+00 +3.9702e+00 -3.4167e+00 -2.0347e+00 -4.5961e+00 -3.4296e+00 +3.1596e+00
1123 +2.006323331e+06 +2.006323331e+06 +2.006268391e+06 +2.006268391e+06 -1.3865e-01 -4.8690e+00 -9.5483e-01 +3.1374e+00 +3.2964e+00 -4.2024e+00 -7.8150e-01 -6.4472e-01 -4.1554e+00 +2.8712e-02 +2.5202e+00 +1.3357e+00 -3.4761e+00 -4.4234e+00 +3.8453e+00 -3.4254e+00 -2.1119e+00 -4.7395e+00 -3.5371e+00 +3.0183e+00
1174 +1.979171607e+06 +1.979171607e+06 +1.979116667e+06 +1.979116667e+06 -2.2204e-01 -7.6590e+00 -4.8468e-01 +3.2341e+00 +3.3595e+00 -4.1531e+00 -6.8899e-01 -5.5852e-01 -4.1853e+00 +1.7180e-02 +2.5166e+00 +1.5231e+00 -3.4845e+00 -4.4403e+00 +3.9054e+00 -3.4537e+00 -3.9875e+00 -4.6405e+00 -3.4599e+00 +3.6189e+00
1225 +1.725357015e+06 +1.725357015e+06 +1.725302075e+06 +1.725302075e+06 -1.3234e-01 -5.1039e+00 -8.9468e-01 +3.2055e+00 +3.2959e+00 -3.6321e+00 -7.6832e-01 +8.1873e-01 -4.1335e+00 -1.2675e-02 +2.5103e+00 +1.1432e+00 -3.4531e+00 -5.1152e+00 +3.9745e+00 -3.4478e+00 -2.0712e+00 -4.8080e+00 -3.5776e+00 +2.5702e+00
