% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.131124616e+02 +3.131124616e+02 +4.157224616e+02 +4.157224616e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
6011 +2.721536912e+02 +2.721536912e+02 +3.747636912e+02 +3.747636912e+02 -1.6723e+00 -1.7106e+00 +6.3593e-01 -1.9823e+00 +2.0123e-01 +4.2428e-01 +4.7533e-01 +1.0198e-01 +2.6602e+00 +1.8924e+00 +2.5516e+00 +1.0654e+00 +2.0817e+00 +4.6700e-01 +1.1480e+00 +2.1914e-01 +8.1519e-01 +8.7126e-01 -1.0166e+00 -5.0888e-01
6207 +2.379801358e+02 +2.379801358e+02 +3.405901358e+02 +3.405901358e+02 -1.0312e+00 -1.9377e+00 +6.7447e-01 -4.2526e-01 -2.2094e-01 +1.6774e+00 +1.1405e+00 -4.6122e-01 +2.0767e+00 +1.6717e+00 +2.5269e+00 +2.5066e+00 +2.3139e+00 -1.0510e+00 +1.1306e-01 +2.5367e+00 +6.9100e-01 +2.0943e+00 -1.9185e+00 -1.0685e+00
6633 +2.142614319e+02 +2.142614319e+02 +3.168714319e+02 +3.168714319e+02 -1.8192e+00 +1.1433e-01 +1.5459e+00 -1.3202e+00 +4.8156e-01 +1.0451e+00 +1.4509e+00 +6.8606e-01 -1.5750e-01 +1.5139e+00 +2.1839e+00 +1.5523e+00 +8.8549e-01 +2.4497e-01 +5.8904e-01 +1.4216e-01 -4.8885e-01 +2.3569e+00 -1.7646e+00 -1.0345e-01
7871 +2.137788545e+02 +2.137788545e+02 +3.163888545e+02 +3.163888545e+02 -1.1864e+00 -8.6936e-01 -1.3726e-02 -1.1726e+00 -1.0412e-01 +1.1167e+00 +1.7788e+00 +1.4066e-01 +1.1895e+00 -5.7043e-02 +1.7958e+00 -7.1429e-01 +5.5132e-01 -8.8997e-01 +2.8343e-01 +5.9350e-01 +1.5759e+00 +8.2866e-01 -1.7999e+00 -1.2341e+00
8814 +1.973060198e+02 +1.973060198e+02 +2.999160198e+02 +2.999160198e+02 +8.0753e-01 -3.8208e-01 +4.8532e-01 -5.6126e-01 +1.9061e+00 +2.0402e+00 +1.4231e+00 +7.4215e-01 +2.6907e+00 -1.5923e+00 +1.6532e+00 +1.2667e+00 +1.8398e+00 -1.8021e+00 +2.6341e+00 +1.1939e+00 +9.2589e-01 +1.8029e+00 -1.2908e+00 -1.0572e+00
8949 +1.870553350e+02 +1.870553350e+02 +2.896653350e+02 +2.896653350e+02 -1.7099e+00 -1.5763e+00 +7.0412e-01 -1.8429e-01 +2.1674e-01 +1.9534e+00 +7.3084e-01 +8.2943e-01 -7.8603e-01 -8.7916e-01 +1.7462e-01 +1.5121e+00 +1.5940e+00 -1.3417e+00 +1.4940e+00 -4.0033e-02 +1.7351e-01 +9.3755e-01 -1.0273e+00 -2.9698e+00
% function evaluation | noise-free fitness - Fopt (9.330000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.422558314e+02 +3.422558314e+02 +4.355558314e+02 +4.355558314e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
3949 +3.056201143e+02 +3.056201143e+02 +3.989201143e+02 +3.989201143e+02 +4.0913e+00 -2.5575e+00 -2.2210e+00 -6.3581e-01 -7.6259e-01 -1.0058e+00 -5.2921e-01 +3.8362e+00 -8.1653e-01 +9.5700e-02 +2.8864e+00 +9.9294e-02 -1.0692e+00 -5.7090e-02 -3.5437e+00 -7.1373e-01 -1.2618e+00 +1.4016e+00 -1.7288e+00 +1.7721e+00
