% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.288577618e+08 +4.288577618e+08 +4.288571407e+08 +4.288571407e+08 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
813 +3.955061350e+08 +3.955061350e+08 +3.955055139e+08 +3.955055139e+08 -3.3138e+00 +2.1968e+00 +4.2741e+00 -2.6184e+00 +6.1355e-01 -3.9459e+00 -1.9812e+00 -6.9781e-02 -4.4719e+00 +3.3211e+00 -4.2984e+00 -6.3781e-01 +1.9825e+00 +1.9303e+00 -1.3804e+00 -1.4755e+00 +4.0310e+00 +2.0501e-01 +1.1099e+00 +2.8493e+00
865 +3.726267509e+08 +3.726267509e+08 +3.726261298e+08 +3.726261298e+08 -3.3142e+00 +2.2566e+00 +4.5027e+00 -2.6790e+00 +6.0832e-01 -3.8812e+00 -8.2038e-01 -1.9971e-01 -4.4124e+00 +3.3938e+00 -4.2781e+00 -3.9341e-01 +2.6400e+00 +1.9077e+00 -1.5044e+00 -1.5116e+00 +4.0689e+00 +3.1174e-01 +1.0631e+00 +3.1399e+00
989 +3.566633066e+08 +3.566633066e+08 +3.566626855e+08 +3.566626855e+08 -3.3405e+00 +2.3076e+00 +4.2215e+00 -2.7198e+00 +6.2350e-01 -3.9063e+00 -1.1897e+00 +4.8060e-03 -4.5024e+00 +3.3719e+00 -4.3026e+00 -2.7061e-01 +2.8703e+00 +1.8848e+00 -1.6699e+00 -1.5256e+00 +3.9436e+00 +4.8813e-01 +1.0739e+00 +2.6720e+00
995 +3.529471173e+08 +3.529471173e+08 +3.529464962e+08 +3.529464962e+08 -3.3198e+00 +2.3892e+00 +4.1964e+00 -2.6236e+00 +7.6159e-01 -3.9226e+00 -1.0334e+00 -1.2989e-01 -4.4130e+00 +3.3718e+00 -4.2848e+00 -3.0517e-01 +2.5882e+00 +1.8377e+00 -1.5836e+00 -1.4001e+00 +4.1053e+00 +2.7297e-01 +1.0871e+00 +2.8183e+00
1024 +3.210094235e+08 +3.210094235e+08 +3.210088024e+08 +3.210088024e+08 -3.4308e+00 +2.2469e+00 +4.5598e+00 -2.6663e+00 +6.3063e-01 -3.8887e+00 -1.7208e-01 +3.5479e-02 -4.4298e+00 +3.4654e+00 -4.3096e+00 -5.5902e-02 +2.2567e+00 +1.8679e+00 -1.4502e+00 -1.6575e+00 +4.0977e+00 -1.0171e-01 +1.2227e+00 +2.3400e+00
1035 +3.055511512e+08 +3.055511512e+08 +3.055505301e+08 +3.055505301e+08 -3.5931e+00 +2.4060e+00 +4.0260e+00 -2.6049e+00 +6.5209e-01 -3.9315e+00 -7.2350e-01 -4.0129e-02 -4.4653e+00 +3.3702e+00 -4.2860e+00 -3.6308e-01 +2.7156e+00 +1.9064e+00 -7.9947e-01 -1.4550e+00 +4.0578e+00 +8.0824e-01 +7.5433e-01 +3.3399e+00
1046 +2.946550974e+08 +2.946550974e+08 +2.946544762e+08 +2.946544762e+08 -3.3634e+00 +2.4001e+00 +4.4155e+00 -2.6039e+00 +9.4306e-01 -3.9150e+00 -8.6999e-02 -1.6801e-02 -4.5260e+00 +3.3747e+00 -4.2824e+00 -3.5012e-01 +2.9799e+00 +1.8411e+00 -1.5091e+00 -1.5493e+00 +4.1058e+00 +1.7623e+00 +1.1247e+00 +2.9552e+00
1115 +2.834620465e+08 +2.834620465e+08 +2.834614254e+08 +2.834614254e+08 -3.3177e+00 +2.2284e+00 +4.3735e+00 -2.8504e+00 +6.0462e-01 -3.9231e+00 +1.1824e+00 -1.9483e-01 -4.4629e+00 +3.2461e+00 -4.2956e+00 -3.9748e-01 +2.7065e+00 +1.8610e+00 -1.2747e+00 -1.5491e+00 +4.1443e+00 +7.3762e-01 +5.9258e-01 +2.7358e+00
1144 +2.694951248e+08 +2.694951248e+08 +2.694945037e+08 +2.694945037e+08 -3.4876e+00 +2.3407e+00 +4.3627e+00 -2.3321e+00 +6.3185e-01 -3.9575e+00 +3.7696e-01 +2.2013e-01 -4.5132e+00 +3.3718e+00 -4.2943e+00 -8.0342e-01 +2.2023e+00 +1.8349e+00 -1.2437e+00 -1.6242e+00 +4.0483e+00 +3.7572e-01 +1.0112e+00 +2.6602e+00
