% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.992761284e+02 +3.992761284e+02 +3.900661284e+02 +3.900661284e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2 +3.712992490e+02 +3.712992490e+02 +3.620892490e+02 +3.620892490e+02 +8.3348e-01 -1.1695e+00 -3.7054e+00 -5.6241e-01 +2.5999e+00 +3.4324e-01 +4.0710e+00 +4.1917e+00 -4.4423e+00 -1.5547e+00 +4.4764e+00 -2.9340e+00 -1.1366e+00 -4.7444e-01 -1.7744e+00 -3.7446e+00 +4.3425e+00 -5.7014e-02 -1.7005e+00 -4.0017e+00
460 +3.616799090e+02 +3.616799090e+02 +3.524699090e+02 +3.524699090e+02 +8.2918e-01 -1.2224e+00 -3.7127e+00 -5.4506e-01 +2.5994e+00 +3.6444e-01 +4.0406e+00 +4.1861e+00 -4.4033e+00 -1.5692e+00 +4.4637e+00 -2.9591e+00 -1.1388e+00 -2.5781e-01 -1.7647e+00 -3.8068e+00 +4.4789e+00 -6.4852e-03 -1.8540e+00 -3.4670e+00
486 +3.539946727e+02 +3.539946727e+02 +3.447846727e+02 +3.447846727e+02 +8.8021e-01 -1.1634e+00 -3.7064e+00 -5.5525e-01 +2.5995e+00 +4.0015e-01 +4.0750e+00 +4.1884e+00 -4.4355e+00 -1.5978e+00 +4.4523e+00 -2.9430e+00 -1.1357e+00 -4.6914e-01 -1.7650e+00 -3.7521e+00 +4.4739e+00 +9.5576e-03 -1.7459e+00 -2.5005e+00
739 +3.436748252e+02 +3.436748252e+02 +3.344648252e+02 +3.344648252e+02 +7.6445e-01 -1.3376e+00 -3.7031e+00 -5.5337e-01 +2.5970e+00 +3.2537e-01 +4.0711e+00 +4.1728e+00 -4.4260e+00 -1.6595e+00 +4.4700e+00 -2.9120e+00 -1.1196e+00 -3.8761e-01 -1.5491e+00 -3.7642e+00 +3.9377e+00 -3.3525e-02 -3.1286e+00 -2.1777e+00
762 +3.354730514e+02 +3.354730514e+02 +3.262630514e+02 +3.262630514e+02 +8.8851e-01 -1.0510e+00 -3.6867e+00 -5.2130e-01 +2.6014e+00 +4.0216e-01 +4.0718e+00 +4.1953e+00 -4.3996e+00 -1.6733e+00 +4.4755e+00 -2.9144e+00 -1.1046e+00 -4.9297e-01 -1.8122e+00 -3.8268e+00 +4.0725e+00 +5.8461e-01 -1.9995e+00 -1.1539e+00
810 +3.103384195e+02 +3.103384195e+02 +3.011284195e+02 +3.011284195e+02 +8.7212e-01 -1.1562e+00 -3.6583e+00 -7.5936e-01 +2.6192e+00 +5.5662e-01 +4.0562e+00 +4.2029e+00 -4.4291e+00 -3.0330e+00 +4.4947e+00 -2.8623e+00 -1.1293e+00 -5.1632e-01 -1.9593e+00 -3.7158e+00 +4.3087e+00 +4.4086e-01 +1.2290e+00 +3.8276e+00
908 +2.952347119e+02 +2.952347119e+02 +2.860247119e+02 +2.860247119e+02 +8.8339e-01 -1.0134e+00 -3.7136e+00 -5.7856e-01 +2.5807e+00 +2.1962e-01 +4.0419e+00 +4.1201e+00 -4.4670e+00 -2.3555e+00 +4.5615e+00 -2.8931e+00 -1.1331e+00 -1.8024e-01 -1.8141e+00 -3.8705e+00 +5.0347e+00 +1.1814e-01 -2.4988e+00 +1.8954e+00
920 +2.937952056e+02 +2.937952056e+02 +2.845852056e+02 +2.845852056e+02 +8.3733e-01 -1.1533e+00 -3.7140e+00 -5.9823e-01 +2.6082e+00 +2.6800e-01 +4.0873e+00 +4.2917e+00 -4.4436e+00 -1.6415e+00 +4.4644e+00 -2.7044e+00 -1.1563e+00 -3.7718e-01 -1.9419e+00 -3.7694e+00 +4.3957e+00 +2.8053e-01 -1.2138e+00 +3.7827e+00
927 +2.830162745e+02 +2.830162745e+02 +2.738062745e+02 +2.738062745e+02 +7.8799e-01 -1.1843e+00 -3.7040e+00 -6.3466e-01 +2.5993e+00 +1.1453e-01 +4.0310e+00 +4.1592e+00 -4.4403e+00 -1.5405e+00 +4.4840e+00 -2.6500e+00 -1.1508e+00 -3.8753e-01 -1.8005e+00 -3.7560e+00 +3.7553e+00 +1.2681e-01 -1.9504e+00 +6.8026e+00
981 +2.649883074e+02 +2.649883074e+02 +2.557783074e+02 +2.557783074e+02 +9.0150e-01 -1.0975e+00 -3.6950e+00 -5.4004e-01 +2.5960e+00 +1.4656e-01 +4.6272e+00 +4.1820e+00 -4.4467e+00 -1.4717e+00 +4.5123e+00 -3.0059e+00 -1.1451e+00 -6.0172e-01 -1.5770e+00 -3.9146e+00 +4.5783e+00 +5.1500e-01 -2.8276e+00 +1.1015e+01
1033 +2.554845587e+02 +2.554845587e+02 +2.462745587e+02 +2.462745587e+02 +7.9426e-01 -1.1378e+00 -3.6916e+00 -5.9166e-01 +2.5893e+00 +3.8347e-01 +4.0389e+00 +4.1940e+00 -4.6666e+00 -1.4641e+00 +4.5105e+00 -2.8373e+00 -1.1228e+00 -1.3519e-02 -2.0789e+00 -3.9200e+00 +4.7240e+00 +3.8540e-01 -3.5050e+00 +7.7899e+00
1048 +2.465369538e+02 +2.465369538e+02 +2.373269538e+02 +2.373269538e+02 +8.1861e-01 -1.1482e+00 -3.7369e+00 -5.8921e-01 +2.6628e+00 +2.5145e-01 +4.0743e+00 +4.1197e+00 -4.4492e+00 -1.8555e+00 +4.4172e+00 -2.8576e+00 -1.1764e+00 -3.5281e-01 -2.0509e+00 -3.8916e+00 +3.5331e+00 +9.6576e-01 -5.4272e+00 +6.5637e+00
1062 +2.435381496e+02 +2.435381496e+02 +2.343281496e+02 +2.343281496e+02 +8.0184e-01 -1.1710e+00 -3.7122e+00 -5.7364e-01 +2.5596e+00 +1.4745e-01 +4.1006e+00 +4.1493e+00 -4.3976e+00 -1.2626e+00 +4.2460e+00 -2.9102e+00 -1.2714e+00 -4.3135e-01 -1.4988e+00 -4.0841e+00 +4.8834e+00 +5.7912e-01 -6.3563e+00 +5.0233e+00
