% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.357246449e+01 +7.357246449e+01 +1.449224645e+02 +1.449224645e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
506 +7.235035569e+01 +7.235035569e+01 +1.437003557e+02 +1.437003557e+02 -6.6270e-01 +4.7747e+00 +4.4560e+00 +1.9948e+00 +1.8654e+00 -1.0353e+00 -4.6882e+00 -4.9346e+00 +2.9665e+00 +2.2259e+00 +2.4327e-01 -1.7715e+00 -2.6557e+00 +3.1309e-01 +2.8279e+00 -3.4010e+00 -4.5389e+00 -2.6591e+00 -3.7389e+00 -3.8558e+00
620 +6.969275076e+01 +6.969275076e+01 +1.410427508e+02 +1.410427508e+02 -9.3947e-01 +4.7283e+00 +4.4588e+00 +2.0485e+00 +2.0481e+00 -1.0319e+00 -4.6860e+00 -4.9661e+00 +2.9632e+00 +2.2002e+00 +1.6616e-01 -1.8493e+00 -2.5705e+00 +3.0859e-01 +2.7723e+00 -3.3555e+00 -4.5351e+00 -2.6877e+00 -3.5255e+00 -4.0238e+00
657 +6.773052334e+01 +6.773052334e+01 +1.390805233e+02 +1.390805233e+02 -8.7255e-01 +4.7358e+00 +4.4606e+00 +2.0124e+00 +1.8712e+00 -1.0337e+00 -4.6949e+00 -4.9374e+00 +2.9652e+00 +2.2324e+00 +2.1607e-01 -1.7507e+00 -2.6032e+00 +3.0960e-01 +2.8163e+00 -3.3753e+00 -4.5367e+00 -2.6570e+00 -3.7428e+00 -3.7023e+00
735 +6.726240207e+01 +6.726240207e+01 +1.386124021e+02 +1.386124021e+02 -9.4429e-01 +4.7447e+00 +4.4539e+00 +2.0243e+00 +1.9243e+00 -1.0354e+00 -4.6868e+00 -4.9331e+00 +2.9531e+00 +2.3328e+00 +2.0843e-01 -1.9029e+00 -2.6842e+00 +3.0949e-01 +2.8102e+00 -3.1001e+00 -4.5449e+00 -2.7237e+00 -3.4490e+00 -3.8438e+00
774 +5.947723658e+01 +5.947723658e+01 +1.308272366e+02 +1.308272366e+02 -4.8764e-01 +4.7375e+00 +4.4686e+00 +2.0270e+00 +1.8380e+00 -1.0402e+00 -4.6888e+00 -4.9186e+00 +2.9828e+00 +2.2587e+00 +2.0570e-01 -1.7911e+00 -2.6562e+00 +3.1324e-01 +2.7857e+00 -3.2897e+00 -4.5407e+00 -2.6858e+00 -3.7894e+00 -3.8856e+00
817 +5.829689789e+01 +5.829689789e+01 +1.296468979e+02 +1.296468979e+02 -8.6675e-01 +4.7289e+00 +4.4537e+00 +2.0381e+00 +1.8809e+00 -1.0333e+00 -4.6728e+00 -4.9274e+00 +2.9518e+00 +2.3145e+00 +1.9225e-01 -1.7942e+00 -2.8970e+00 +3.1002e-01 +2.8097e+00 -3.2916e+00 -4.5402e+00 -2.6610e+00 -4.6881e+00 -3.9470e+00
890 +5.699103771e+01 +5.699103771e+01 +1.283410377e+02 +1.283410377e+02 -9.0363e-01 +4.7341e+00 +4.4529e+00 +2.0344e+00 +1.9499e+00 -1.0197e+00 -4.6737e+00 -4.9424e+00 +2.8406e+00 +2.2826e+00 +1.8099e-01 -1.7007e+00 -3.0420e+00 +3.1325e-01 +2.7449e+00 -3.3940e+00 -4.5370e+00 -2.7588e+00 -4.4061e+00 -3.9266e+00
955 +5.586009897e+01 +5.586009897e+01 +1.272100990e+02 +1.272100990e+02 -8.0339e-01 +4.7793e+00 +4.3257e+00 +2.0333e+00 +1.9202e+00 -1.0342e+00 -4.6721e+00 -4.9166e+00 +2.9411e+00 +2.2885e+00 +1.8801e-01 -1.9709e+00 -2.9128e+00 +3.1277e-01 +2.7965e+00 -3.2225e+00 -4.5027e+00 -2.7142e+00 -3.7357e+00 -3.8372e+00
991 +5.275766140e+01 +5.275766140e+01 +1.241076614e+02 +1.241076614e+02 -1.1033e+00 +4.7436e+00 +4.4859e+00 +1.9639e+00 +1.8990e+00 -1.0338e+00 -4.6852e+00 -4.8962e+00 +2.9642e+00 +2.2088e+00 +1.7056e-01 -2.2716e+00 -2.7358e+00 +3.0489e-01 +2.8185e+00 -3.3545e+00 -4.5412e+00 -2.7279e+00 -3.6685e+00 -4.2277e+00
1026 +4.509913951e+01 +4.509913951e+01 +1.164491395e+02 +1.164491395e+02 -8.9848e-01 +4.7393e+00 +4.3355e+00 +2.0007e+00 +2.2677e+00 -1.0310e+00 -4.6870e+00 -4.9353e+00 +2.9672e+00 +2.2980e+00 +1.3257e-01 -1.9088e+00 -2.9792e+00 +3.1116e-01 +2.8044e+00 -3.0451e+00 -4.5211e+00 -2.7595e+00 -3.5434e+00 -3.6633e+00
1202 +3.968875454e+01 +3.968875454e+01 +1.110387545e+02 +1.110387545e+02 -9.9511e-01 +4.7177e+00 +4.4438e+00 +2.0250e+00 +2.4398e+00 -1.0769e+00 -4.6881e+00 -5.0007e+00 +3.0910e+00 +2.2414e+00 +2.1301e-01 -2.2344e+00 -3.5778e+00 +3.0898e-01 +2.8656e+00 -2.9754e+00 -4.4987e+00 -2.7779e+00 -4.1046e+00 -3.5391e+00
1222 +3.603690896e+01 +3.603690896e+01 +1.073869090e+02 +1.073869090e+02 -9.2798e-01 +4.7188e+00 +4.4404e+00 +1.8286e+00 +2.0367e+00 -1.0334e+00 -4.6828e+00 -4.7635e+00 +2.9707e+00 +2.5706e+00 +1.7281e-01 -2.3921e+00 -3.6926e+00 +3.2036e-01 +2.7951e+00 -3.2717e+00 -4.5673e+00 -2.7413e+00 -3.9387e+00 -3.9089e+00
1306 +3.025363183e+01 +3.025363183e+01 +1.016036318e+02 +1.016036318e+02 -1.1787e+00 +4.7433e+00 +4.4518e+00 +2.0989e+00 +2.2200e+00 -1.0281e+00 -4.6728e+00 -4.8457e+00 +3.1056e+00 +2.3563e+00 +1.5321e-01 -2.2649e+00 -3.7060e+00 +2.5701e-01 +2.7956e+00 -2.7071e+00 -4.5533e+00 -2.7544e+00 -3.9298e+00 -3.8036e+00
1408 +2.796772357e+01 +2.796772357e+01 +9.931772357e+01 +9.931772357e+01 -1.4228e+00 +4.7745e+00 +4.4996e+00 +2.0002e+00 +1.9379e+00 -1.0643e+00 -4.6541e+00 -4.8195e+00 +3.1065e+00 +2.3241e+00 +5.8884e-02 -2.3391e+00 -4.2249e+00 +3.2557e-01 +3.0522e+00 -2.6092e+00 -4.5383e+00 -2.8657e+00 -3.8331e+00 -3.6922e+00
1513 +2.411078777e+01 +2.411078777e+01 +9.546078777e+01 +9.546078777e+01 -1.0905e+00 +4.7874e+00 +4.4244e+00 +2.1196e+00 +1.7097e+00 -1.0676e+00 -4.6496e+00 -4.8997e+00 +2.9995e+00 +2.2546e+00 -4.4102e-01 -2.2943e+00 -4.0134e+00 +3.6331e-01 +2.7104e+00 -2.2544e+00 -4.8082e+00 -2.9388e+00 -4.1893e+00 -3.8316e+00
1618 +2.090014154e+01 +2.090014154e+01 +9.225014154e+01 +9.225014154e+01 -9.0735e-01 +4.7494e+00 +4.5300e+00 +1.9351e+00 +2.5165e+00 -1.0923e+00 -4.6404e+00 -5.0333e+00 +2.9697e+00 +2.3253e+00 -1.9443e-01 -2.1674e+00 -3.5912e+00 +3.0309e-01 +2.8871e+00 -2.2864e+00 -4.6503e+00 -3.1513e+00 -3.9206e+00 -3.4401e+00
1765 +1.952449191e+01 +1.952449191e+01 +9.087449191e+01 +9.087449191e+01 -1.0241e+00 +4.7684e+00 +4.8961e+00 +2.1673e+00 +1.6414e+00 -9.3180e-01 -4.6420e+00 -5.0016e+00 +3.1486e+00 +2.1346e+00 -3.1061e-01 -2.7469e+00 -4.1853e+00 +3.9359e-01 +2.5473e+00 -2.6969e+00 -4.7642e+00 -2.6741e+00 -3.7236e+00 -3.6174e+00
2065 +1.753955803e+01 +1.753955803e+01 +8.888955803e+01 +8.888955803e+01 -1.2271e+00 +4.7783e+00 +4.4515e+00 +1.9143e+00 +1.8084e+00 -9.5043e-01 -4.6400e+00 -5.0328e+00 +2.7015e+00 +2.2079e+00 -3.3956e-01 -1.9554e+00 -4.3103e+00 +2.0645e-01 +2.7638e+00 -2.3952e+00 -4.3280e+00 -2.8364e+00 -3.5305e+00 -3.3306e+00
2339 +1.543841732e+01 +1.543841732e+01 +8.678841732e+01 +8.678841732e+01 -1.2655e+00 +4.6558e+00 +4.9848e+00 +1.6501e+00 +1.3953e+00 -9.9563e-01 -4.6815e+00 -4.9061e+00 +2.7126e+00 +2.4267e+00 -1.4620e-01 -2.0636e+00 -4.1310e+00 +2.6988e-01 +2.7143e+00 -2.2170e+00 -4.5829e+00 -3.0671e+00 -3.2480e+00 -3.3997e+00
2423 +1.276965857e+01 +1.276965857e+01 +8.411965857e+01 +8.411965857e+01 -1.2488e+00 +4.7681e+00 +4.7076e+00 +1.5170e+00 +1.7009e+00 -1.1497e+00 -4.6266e+00 -4.7799e+00 +3.0295e+00 +2.3756e+00 -1.8892e-01 -2.3445e+00 -4.2799e+00 +3.9020e-01 +2.7084e+00 -2.4527e+00 -4.8043e+00 -2.8505e+00 -3.0086e+00 -3.1759e+00
3191 +1.155859298e+01 +1.155859298e+01 +8.290859298e+01 +8.290859298e+01 -1.8835e+00 +4.6866e+00 +4.7530e+00 +1.1071e+00 +1.8653e+00 -9.0692e-01 -4.7023e+00 -4.7628e+00 +2.7461e+00 +2.4055e+00 -2.1490e-01 -2.4806e+00 -4.3007e+00 +2.2873e-01 +2.7428e+00 -2.3742e+00 -4.7085e+00 -2.9874e+00 -3.3758e+00 -3.0043e+00
3200 +1.027613848e+01 +1.027613848e+01 +8.162613848e+01 +8.162613848e+01 -1.6591e+00 +4.7736e+00 +4.9924e+00 +1.3760e+00 +1.7920e+00 -6.1629e-01 -4.6225e+00 -4.7622e+00 +2.6813e+00 +2.4479e+00 -2.1294e-01 -2.0398e+00 -4.5645e+00 +1.0538e-01 +2.8170e+00 -2.6269e+00 -4.1663e+00 -2.8478e+00 -3.5124e+00 -2.2278e+00
% function evaluation | noise-free fitness - Fopt (-3.552200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.508868155e+01 +6.508868155e+01 -2.901313185e+02 -2.901313185e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
495 +6.093456133e+01 +6.093456133e+01 -2.942854387e+02 -2.942854387e+02 +2.1728e+00 -2.9323e+00 +4.8371e+00 +1.4154e+00 +4.8177e+00 -3.4089e+00 -2.7804e+00 -3.0405e+00 -8.2472e-01 -1.4520e-01 -2.7522e+00 -3.5507e+00 -3.7726e+00 -3.0254e+00 -3.2627e+00 +3.8895e+00 -2.6466e+00 +3.8259e+00 -2.2778e-02 -1.8314e+00
515 +5.228293405e+01 +5.228293405e+01 -3.029370660e+02 -3.029370660e+02 +2.1947e+00 -2.9025e+00 +4.7869e+00 +1.4218e+00 +4.8396e+00 -3.3958e+00 -2.7680e+00 -3.0723e+00 -7.4198e-01 -1.1895e-01 -2.7489e+00 -3.6289e+00 -3.7936e+00 -3.0214e+00 -3.2726e+00 +3.9004e+00 -2.7387e+00 +3.8238e+00 -2.4991e-02 -1.7939e+00
