% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.707168231e+01 +3.707168231e+01 +2.013168231e+01 +2.013168231e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1946 +3.091334454e+01 +3.091334454e+01 +1.397334454e+01 +1.397334454e+01 +1.3175e+00 -3.1851e+00 -1.6104e-01 -3.2508e+00 +9.8032e-01 -2.4049e+00 +2.4667e+00 -3.9458e+00 -6.5243e-01 +8.8481e-01 +2.9801e+00 -3.2450e+00 +2.0607e+00 +1.7231e+00 +8.3224e-01 +1.5238e+00 +4.3731e+00 -1.3932e+00 +3.6004e+00 +2.9285e+00
2002 +2.960540417e+01 +2.960540417e+01 +1.266540417e+01 +1.266540417e+01 +1.6283e+00 -4.2206e+00 +2.1197e-01 -5.1446e+00 -5.0624e-02 -2.4505e+00 +3.3406e+00 -3.0741e+00 +2.1514e+00 +3.3004e+00 +3.9205e+00 -2.8051e+00 +7.8846e-01 +8.3704e-02 -2.7016e-01 +1.5880e+00 +3.2871e+00 -6.6043e-01 +2.5958e+00 +2.8489e+00
2028 +2.622265814e+01 +2.622265814e+01 +9.282658138e+00 +9.282658138e+00 -1.1045e-01 -1.4003e+00 -3.9761e-02 -5.0841e-01 +7.1845e-01 -2.3642e+00 +4.0136e+00 -3.8508e+00 +4.2143e-01 +3.1990e+00 +3.7596e+00 -4.7459e-01 +2.5146e+00 -3.3869e+00 +1.5819e+00 +1.6067e+00 +3.2491e+00 -1.0111e+00 +3.4433e+00 +2.4370e+00
2036 +1.608270433e+01 +1.608270433e+01 -8.572956667e-01 -8.572956667e-01 +1.2479e+00 -3.1883e+00 +1.3650e-01 -4.0520e+00 +4.1634e+00 -2.6126e+00 +3.4496e+00 -2.9006e+00 +2.1994e+00 +4.4465e+00 +4.0432e+00 -3.5747e+00 +3.3728e+00 -2.9620e+00 +6.2174e-01 +1.6772e+00 +4.4122e+00 -1.2343e+00 +3.2798e+00 +3.2370e+00
2255 +1.080316069e+01 +1.080316069e+01 -6.136839308e+00 -6.136839308e+00 +1.4915e+00 -2.7328e+00 -4.1124e-02 -2.9996e+00 +1.1686e+00 -1.1328e+00 +2.6428e+00 -3.1725e+00 -4.4017e+00 +5.2879e-03 +4.1901e+00 -4.5959e+00 +7.5924e-01 -3.1592e+00 +1.5842e+00 +1.3533e+00 +4.1250e+00 -1.3241e+00 +2.3530e+00 +3.8831e+00
2568 +9.520235242e+00 +9.520235242e+00 -7.419764758e+00 -7.419764758e+00 +1.8349e+00 +1.4354e+00 -2.0702e-01 -2.4032e+00 -2.8213e-01 -2.1663e+00 +2.8756e+00 -2.4995e+00 +1.4709e+00 +1.3564e+00 +3.6396e+00 -2.2151e+00 -2.3534e+00 +8.5557e-02 +2.1503e+00 +1.5002e+00 +4.9716e+00 -1.9420e+00 +2.4574e+00 +2.8382e+00
2747 +9.041287682e+00 +9.041287682e+00 -7.898712318e+00 -7.898712318e+00 +7.7801e-01 -1.4186e+00 -2.1803e-01 -2.6955e+00 +1.3783e+00 -1.3671e+00 +2.9275e+00 -1.1289e+00 +1.1361e+00 +2.4288e+00 +3.9447e+00 -1.7620e+00 +6.1463e-01 -2.4424e+00 +3.4714e+00 +1.4053e+00 +2.9623e+00 -4.8831e-01 +1.7945e+00 +1.3233e+00
3193 +8.356373292e+00 +8.356373292e+00 -8.583626708e+00 -8.583626708e+00 +6.5452e-01 +1.3725e+00 +4.6316e-01 -2.3736e+00 +3.0143e+00 -1.1126e+00 +3.0528e+00 -2.4978e+00 +1.1373e+00 -2.9880e+00 +2.6400e+00 -1.0389e+00 +4.2324e-02 -2.6878e+00 +4.0178e+00 +1.3361e+00 +1.4956e+00 +1.7444e-01 +6.2127e-01 +1.7680e+00
3362 +8.298052798e+00 +8.298052798e+00 -8.641947202e+00 -8.641947202e+00 +1.5337e+00 -2.2544e+00 -1.3820e-01 -2.1422e+00 +2.8643e+00 -1.1640e+00 +2.4067e+00 -9.6158e-01 +3.2898e+00 +8.3453e-01 +3.6092e+00 -2.4485e+00 +5.6673e-01 -1.4188e+00 +2.7193e+00 +2.0331e+00 +3.8057e+00 -2.3611e+00 +1.2515e-01 +2.7236e+00
3539 +7.237212699e+00 +7.237212699e+00 -9.702787301e+00 -9.702787301e+00 +4.1289e+00 -1.3301e+00 +2.5109e-01 +4.6066e-01 +3.3906e+00 -1.0432e+00 +2.0690e+00 -1.4449e+00 -2.4507e+00 -9.6951e-01 +3.4669e+00 +9.8461e-01 +6.3788e-01 +1.1728e-01 +1.3659e+00 +2.0720e+00 +3.1708e+00 -9.1126e-01 +6.9012e-01 +4.6104e+00
3831 +6.868587600e+00 +6.868587600e+00 -1.007141240e+01 -1.007141240e+01 +3.4767e+00 +1.0592e+00 -5.1741e-01 -8.1540e-01 +1.2543e+00 -7.5885e-01 +4.0009e+00 -1.2583e+00 +2.2170e+00 +3.0751e-01 +3.0859e+00 +9.3987e-01 +8.7553e-02 -3.3445e+00 +2.2329e+00 +2.0921e+00 +3.8038e+00 -6.6285e-01 -3.5307e-01 +1.9261e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.544776293e+01 +1.544776293e+01 +3.425776293e+01 +3.425776293e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2904 +1.492535643e+01 +1.492535643e+01 +3.373535643e+01 +3.373535643e+01 +1.0356e+00 -2.8039e+00 +1.6200e+00 +1.7779e+00 +3.3540e+00 -2.3486e+00 -2.7012e+00 +2.4454e+00 +1.7618e+00 -4.4130e+00 -4.4050e+00 -2.9709e+00 +3.2195e+00 +3.8101e+00 +1.3459e+00 -3.9563e+00 -4.8646e-01 +3.2920e+00 -4.5371e+00 +1.2944e+00
3181 +1.414848012e+01 +1.414848012e+01 +3.295848012e+01 +3.295848012e+01 +1.3554e+00 -1.3017e+00 +1.4992e+00 +2.2532e+00 +3.2588e+00 -8.7911e-01 -3.6248e+00 +2.3349e+00 +1.5761e+00 -2.7420e+00 -4.6539e+00 -1.3030e+00 +4.5598e+00 +4.4568e+00 +9.1657e-01 -3.8429e+00 -7.8980e-01 +2.9139e+00 -1.6857e+00 +1.2584e+00
3263 +1.285206570e+01 +1.285206570e+01 +3.166206570e+01 +3.166206570e+01 +9.5576e-01 -1.1879e+00 +1.5679e+00 +1.9113e+00 +3.0066e+00 -1.2467e+00 -2.7747e+00 +2.7274e+00 +1.0173e+00 -2.6878e+00 -4.1926e+00 -1.6662e+00 +4.2136e+00 +3.8187e+00 +3.1708e+00 -4.0838e+00 -1.1797e+00 +3.0834e+00 -4.0624e+00 +1.2919e+00
3322 +1.044541412e+01 +1.044541412e+01 +2.925541412e+01 +2.925541412e+01 +2.7843e-01 -1.9365e+00 +1.2907e+00 +2.2561e+00 +1.7518e+00 -3.6278e+00 -2.6676e+00 +2.5333e+00 +1.4319e+00 -2.4383e+00 -2.9670e+00 +3.0940e+00 +4.6094e+00 +2.9941e+00 +4.4831e-01 -3.6566e+00 -1.4644e+00 +4.0132e+00 -3.1957e+00 +1.3193e+00
3412 +1.005499649e+01 +1.005499649e+01 +2.886499649e+01 +2.886499649e+01 +1.4099e+00 -1.4520e+00 +1.3988e+00 +2.1811e+00 +3.2885e+00 +1.2908e+00 -2.8195e+00 +2.1412e+00 +2.2128e+00 -2.3381e+00 -2.5123e+00 +1.3599e+00 +3.8425e+00 -8.8178e-01 +1.0614e+00 -3.8964e+00 -1.4116e+00 +3.5647e+00 -2.2109e+00 +1.2247e+00
3527 +9.329365276e+00 +9.329365276e+00 +2.813936528e+01 +2.813936528e+01 +1.5777e+00 -1.8218e+00 +1.7773e+00 +1.6232e+00 +4.3252e+00 -9.6546e-01 -2.7262e+00 +2.0552e+00 +2.5885e+00 -1.6802e+00 -3.3560e+00 +2.4777e+00 +3.1760e+00 +1.6450e+00 +1.6936e+00 -4.0866e+00 -4.1004e+00 +3.0325e+00 -3.7185e+00 +1.2055e+00
3613 +8.777097062e+00 +8.777097062e+00 +2.758709706e+01 +2.758709706e+01 +6.8094e-01 -1.9911e+00 +1.3607e+00 +2.2307e+00 +3.1797e+00 -2.3847e+00 -2.3927e+00 +2.1219e+00 +1.9855e+00 -9.1691e-01 -4.1207e+00 -4.0450e-01 +4.2425e+00 +2.8567e+00 +8.8643e-01 -4.0498e+00 -1.9092e+00 +2.8932e+00 -3.8863e+00 +1.2370e+00
3628 +7.709430527e+00 +7.709430527e+00 +2.651943053e+01 +2.651943053e+01 -2.3426e-01 -2.7269e+00 +1.6177e+00 +1.5322e+00 +2.4652e+00 -4.3057e+00 -2.6096e+00 +1.9438e+00 -6.5579e-02 +1.2710e+00 -4.1066e+00 -1.2896e+00 +4.3802e+00 +3.5233e+00 +1.3670e+00 -4.4784e+00 -1.2633e+00 +2.2428e+00 -2.7025e+00 +1.2207e+00
3713 +7.450551099e+00 +7.450551099e+00 +2.626055110e+01 +2.626055110e+01 +1.2909e+00 -1.3335e+00 +1.2163e+00 +9.7167e-01 +2.5343e+00 -1.8419e+00 -2.8828e+00 +2.3699e+00 +6.1932e-01 +1.1906e+00 -3.3196e+00 +1.5921e+00 +2.8136e+00 +2.5264e+00 +1.3841e+00 -3.9750e+00 -8.6749e-01 +2.8867e+00 -2.6116e+00 +1.5695e+00
3902 +6.801440977e+00 +6.801440977e+00 +2.561144098e+01 +2.561144098e+01 +3.8325e-01 -2.5137e-01 +1.1223e+00 +1.4949e+00 +2.7896e+00 -1.6640e+00 +5.3036e-01 +2.2907e+00 +6.5041e-01 -1.7807e-01 -3.8051e+00 +2.7740e+00 +4.3267e+00 +2.1644e+00 +1.3436e+00 -4.0381e+00 -2.1033e+00 +3.1605e+00 -1.8705e+00 +1.4515e+00
3919 +6.402565289e+00 +6.402565289e+00 +2.521256529e+01 +2.521256529e+01 -6.4850e-02 -8.3653e-01 +9.5254e-01 +1.9931e+00 +2.4540e+00 -3.3439e+00 +5.1368e-01 +2.3488e+00 +7.8378e-01 -5.0792e-01 -4.0164e+00 +1.2257e+00 +3.4115e+00 +4.2842e-01 -1.7780e-02 -3.8592e+00 -2.0952e+00 +3.6274e+00 -3.7035e+00 +1.3161e+00
4005 +5.983280879e+00 +5.983280879e+00 +2.479328088e+01 +2.479328088e+01 +1.2144e+00 -2.6950e+00 +1.1791e+00 +1.5601e+00 +2.6184e+00 -1.6785e+00 -8.1438e-01 +1.6649e+00 +2.1836e-01 +3.6036e-01 -2.6373e+00 +2.1518e+00 +2.9525e+00 +3.4584e-01 +6.5804e-02 -3.9316e+00 -1.0316e+00 +3.4217e+00 -3.2971e+00 +1.2520e+00
4217 +5.802246418e+00 +5.802246418e+00 +2.461224642e+01 +2.461224642e+01 -5.0132e-01 -9.9840e-01 +1.0943e+00 +1.1400e+00 +3.3668e+00 -3.3642e+00 -8.4386e-01 +1.1792e+00 +9.6278e-01 +8.3746e-01 -4.4048e+00 +3.1911e+00 +1.9143e+00 +1.0782e+00 -5.3159e-01 -3.6837e+00 -1.3867e+00 +3.6305e+00 -2.1079e+00 +1.3776e+00
