% function evaluation | noise-free fitness - Fopt (9.294000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.756574751e+03 +1.756574751e+03 +1.849514751e+03 +1.849514751e+03 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1517 +1.607127887e+03 +1.607127887e+03 +1.700067887e+03 +1.700067887e+03 -1.6612e+00 +2.1622e+00 +9.8314e-01 -1.5690e+00 -3.6654e+00 +2.8270e+00 +1.4335e+00 -5.3238e-01 +1.9988e+00 -3.4199e+00 -8.6958e-01 -2.9892e-01 +7.7513e-02 -1.8272e+00 +2.5086e+00 +5.2098e+00 +1.1096e-01 +3.4469e+00 +9.9027e-01 -2.0425e+00
1581 +1.556428705e+03 +1.556428705e+03 +1.649368705e+03 +1.649368705e+03 -3.9725e+00 +9.3356e-01 +2.8114e+00 -1.7825e+00 -3.6590e+00 +2.9341e+00 +1.5628e+00 -1.9447e+00 +3.4708e-01 -2.2867e+00 -1.0662e+00 -2.1497e+00 -3.4363e-01 -3.0015e+00 +2.5141e+00 +2.4730e+00 -4.7945e-01 +3.0023e+00 +1.1673e+00 -1.9661e+00
1603 +1.543554046e+03 +1.543554046e+03 +1.636494046e+03 +1.636494046e+03 -3.3926e+00 +1.1075e+00 +2.5460e+00 -1.4467e+00 -3.6729e+00 +3.0433e+00 +1.0285e+00 +1.5672e-01 +2.6556e-01 -2.1322e+00 +4.5742e-02 -1.4241e+00 -1.0253e-01 -1.5404e+00 +1.1475e+00 +3.5400e+00 +5.8439e-01 +3.7435e+00 +1.8419e+00 -2.1626e+00
1621 +1.276168381e+03 +1.276168381e+03 +1.369108381e+03 +1.369108381e+03 -2.5934e+00 +1.5231e+00 +3.6811e+00 +6.2931e-01 -3.6459e+00 +2.8913e+00 +2.0914e+00 -5.0559e+00 +2.7376e+00 -1.7978e+00 -1.4598e+00 -6.4025e-01 -3.8041e+00 -4.2762e+00 +1.8742e+00 +3.5622e+00 +7.1427e-01 +3.4702e+00 +8.1054e-01 -2.0387e+00
1648 +1.167765917e+03 +1.167765917e+03 +1.260705917e+03 +1.260705917e+03 -3.2240e+00 +1.1256e+00 +6.9240e-01 -3.0298e+00 -3.6537e+00 +3.1316e+00 +1.2293e+00 -5.0025e+00 +6.5929e+00 -6.6542e-01 -6.4396e-01 -1.7084e+00 +6.2360e-01 -4.0259e+00 +2.6701e+00 +4.1797e+00 +1.4237e-01 +1.5508e+00 +1.3265e+00 -1.9795e+00
1704 +1.084117717e+03 +1.084117717e+03 +1.177057717e+03 +1.177057717e+03 -1.2925e+00 +2.0413e+00 +9.5559e-01 -1.8358e+00 -3.6735e+00 +2.9827e+00 +1.3636e+00 -3.8965e+00 +4.5263e+00 -3.1136e+00 -1.4792e+00 -1.6659e+00 -6.5934e-01 -7.2596e-01 +2.2693e+00 +3.4662e+00 +6.0061e-01 +3.3284e+00 -1.0930e+00 -2.0004e+00
1725 +1.047242104e+03 +1.047242104e+03 +1.140182104e+03 +1.140182104e+03 -7.9584e-01 +1.2296e+00 +3.9553e+00 +1.3391e+00 -3.7039e+00 +2.9997e+00 +1.1692e+00 -5.7279e+00 +3.6570e+00 -1.8553e+00 -7.1661e-01 -1.1557e+00 -6.6381e-01 -2.1906e+00 +2.7264e+00 +3.2192e+00 +4.6024e-01 +3.8894e+00 +2.4673e+00 -2.0096e+00
1744 +8.309431090e+02 +8.309431090e+02 +9.238831090e+02 +9.238831090e+02 -2.3541e+00 +1.2461e+00 +1.9875e+00 +1.6555e+00 -3.6855e+00 +4.1108e+00 +3.0406e+00 -1.2513e+00 +1.7876e+00 -2.7101e+00 -1.5705e+00 -1.2119e+00 +2.1223e+00 -3.0486e+00 +1.6456e+00 +3.8504e+00 +2.2126e+00 +3.4514e+00 +1.0288e+00 -2.1343e+00
1841 +7.579275784e+02 +7.579275784e+02 +8.508675784e+02 +8.508675784e+02 -2.7230e+00 +1.2472e+00 +2.4043e+00 -1.7091e+00 -3.6580e+00 +4.2458e+00 +1.1801e+00 -2.3314e+00 +5.6907e+00 -2.6482e+00 -4.8378e-01 -3.3718e+00 -1.8771e+00 -1.9360e+00 +1.3638e+00 +3.7052e+00 +1.5824e+00 +2.9862e+00 +2.2909e+00 -1.9306e+00
