% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.605689310e+04 +2.605689310e+04 +2.620604310e+04 +2.620604310e+04 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2108 +2.438345493e+04 +2.438345493e+04 +2.453260493e+04 +2.453260493e+04 +1.9870e+00 +1.6436e+00 +1.7888e+00 +2.9036e+00 -3.3064e+00 -4.4284e+00 -1.0656e+00 -1.4686e+00 -9.0553e-01 -7.7643e-02 -2.1655e+00 -2.6058e+00 +2.2645e+00 -3.1356e+00 -1.1852e+00 +5.4601e-01 +1.8944e+00 +4.6422e-01 -2.9161e+00 -5.3402e+00
2235 +2.383500430e+04 +2.383500430e+04 +2.398415430e+04 +2.398415430e+04 +2.2577e+00 +7.5207e-01 +7.1535e-01 +1.4903e+00 -2.9605e+00 -4.5299e+00 -1.0667e+00 -6.3594e-01 -9.6773e-01 +4.3084e-02 -1.9799e+00 -1.3389e+00 +2.4296e+00 -2.5838e+00 -2.8431e+00 +4.2547e-01 +2.4275e+00 +6.8380e-01 -3.2771e+00 -5.0555e+00
2313 +2.340174376e+04 +2.340174376e+04 +2.355089376e+04 +2.355089376e+04 +2.4053e+00 +8.1247e-01 +8.6075e-01 +2.4284e+00 -3.1429e+00 -4.2367e+00 -1.3147e+00 -8.6333e-01 -1.4521e+00 +2.3597e-01 -2.3437e+00 -2.5283e+00 +2.5750e+00 -2.0724e+00 -1.7151e+00 -8.5390e-02 +2.1761e+00 +1.1980e+00 -3.0895e+00 -4.9040e+00
2316 +1.974687538e+04 +1.974687538e+04 +1.989602538e+04 +1.989602538e+04 +2.2144e+00 +1.3227e+00 +7.2163e-01 +2.0300e+00 -3.2283e+00 -4.9522e+00 -1.3806e+00 -1.9689e+00 -1.8764e+00 -2.2470e-01 -2.1198e+00 -1.7152e+00 +3.0564e+00 -3.3641e+00 -7.1015e-01 -7.2715e-01 +9.7212e-01 +5.9243e-01 -3.6954e+00 -4.8780e+00
2393 +1.653579279e+04 +1.653579279e+04 +1.668494279e+04 +1.668494279e+04 +2.0331e+00 +8.9609e-01 +4.0224e-01 +2.0587e+00 -3.0064e+00 -4.2333e+00 -1.8156e+00 -9.5772e-01 -1.3245e+00 -7.7861e-01 -2.2920e+00 -7.9709e-01 +2.4869e+00 -2.1005e+00 -2.2415e+00 -2.1987e-01 +2.0611e+00 +5.0000e-01 -3.0918e+00 -5.6880e+00
2448 +1.550642991e+04 +1.550642991e+04 +1.565557991e+04 +1.565557991e+04 +1.7780e+00 +5.4076e-01 +5.6987e-01 +1.9709e+00 -2.9496e+00 -4.5101e+00 -1.5574e+00 -9.9421e-01 -1.3279e+00 -1.7727e-01 -2.6816e+00 -2.3957e+00 +2.6124e+00 -2.3424e+00 -3.0168e+00 +3.4247e-01 +1.9914e+00 +1.4519e+00 -1.9516e+00 -4.0093e+00
2461 +1.506522250e+04 +1.506522250e+04 +1.521437250e+04 +1.521437250e+04 +1.6631e+00 +8.2916e-01 +3.4885e-01 +2.0609e+00 -2.9161e+00 -4.2000e+00 -1.3193e+00 -6.6214e-01 -1.5610e+00 -1.2550e-01 -2.5913e+00 -2.3328e+00 +2.2007e+00 -2.2330e+00 -1.6318e+00 +1.0487e+00 +1.7602e+00 +6.5693e-01 -3.5375e+00 -5.1010e+00
2527 +1.146467479e+04 +1.146467479e+04 +1.161382479e+04 +1.161382479e+04 +1.2485e+00 +9.0543e-01 +1.2125e+00 +1.1149e+00 -2.9933e+00 -4.0396e+00 -8.1497e-01 -1.2366e+00 -1.0450e+00 +6.2948e-01 -2.5610e+00 -1.9414e+00 +2.4654e+00 -2.2764e+00 -2.9040e+00 +1.8123e-02 +1.9445e+00 +9.3827e-01 -2.8590e+00 -5.0469e+00
2679 +9.772210409e+03 +9.772210409e+03 +9.921360409e+03 +9.921360409e+03 +1.0500e+00 +1.0667e+00 +2.3039e-02 -2.7738e-01 -2.6357e+00 -3.5432e+00 -1.9573e+00 -7.5873e-01 -1.0809e+00 -2.9589e-01 -1.8156e+00 -2.7169e+00 +2.2416e+00 -2.1603e+00 -6.0535e-01 -6.1154e-01 +2.7115e-01 -2.4893e-01 -2.6464e+00 -5.2297e+00
2749 +7.476267848e+03 +7.476267848e+03 +7.625417848e+03 +7.625417848e+03 +1.4615e+00 +6.0647e-01 +1.0621e-01 +2.0049e+00 -3.0687e+00 -3.1207e+00 -1.0862e+00 -4.6497e-01 -1.6208e+00 -8.5410e-01 -2.4324e+00 -2.1728e+00 +2.7324e+00 -6.9684e-01 -1.9039e+00 -9.8080e-02 +1.3281e+00 +6.5462e-01 -2.5675e+00 -5.5172e+00
2905 +5.541905387e+03 +5.541905387e+03 +5.691055387e+03 +5.691055387e+03 +1.2333e+00 +1.8082e-01 -9.9809e-01 +1.2621e+00 -3.1724e+00 -3.2938e+00 -1.0754e+00 -1.4414e+00 -2.4841e+00 -6.5614e-01 -2.7869e+00 -1.4434e+00 +2.5436e+00 -2.4410e+00 -1.1305e+00 -6.1252e-01 +1.3004e+00 +5.0907e-01 -2.6031e+00 -4.7574e+00
2952 +3.289875182e+03 +3.289875182e+03 +3.439025182e+03 +3.439025182e+03 +8.5120e-01 +5.1521e-01 +2.3396e-01 +1.5355e+00 -2.9720e+00 -3.1693e+00 -3.0469e-01 -1.5281e+00 -1.3724e+00 -5.0804e-01 -2.3097e+00 -1.6063e+00 +2.4639e+00 -2.1116e+00 -1.4690e+00 -6.9511e-01 +1.1377e+00 +5.8109e-01 -2.4855e+00 -4.1261e+00
3362 +3.083842920e+03 +3.083842920e+03 +3.232992920e+03 +3.232992920e+03 +1.9291e-01 -7.6235e-01 -3.4163e-01 +2.2782e+00 -2.8003e+00 -1.7479e+00 -1.4444e+00 -1.2819e+00 -1.4305e+00 -1.7570e+00 -3.2884e+00 -2.4795e-01 +2.3875e+00 -1.2178e+00 -2.8934e-01 -5.9088e-01 +1.1498e+00 +1.1855e+00 -2.6998e+00 -5.1859e+00
