% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.680316576e+01 +3.680316576e+01 -1.554683424e+01 -1.554683424e+01 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2726 +3.431985009e+01 +3.431985009e+01 -1.803014991e+01 -1.803014991e+01 +2.2010e+00 +5.7391e-01 -2.6456e+00 +9.0999e-01 -3.0564e-01 +4.0678e+00 +5.7763e-01 +1.2407e+00 +1.3520e+00 -2.1567e+00 +1.8221e+00 +1.3401e+00 +8.2696e-01 +3.1426e+00 +3.9198e+00 +4.3461e-01 -5.4500e+00 +1.8355e+00 +6.0443e+00 -1.8104e+00
2798 +3.119683101e+01 +3.119683101e+01 -2.115316899e+01 -2.115316899e+01 +8.8689e-01 +5.7857e-01 -2.1032e+00 -5.0906e-01 -7.2350e-01 +4.2395e+00 -1.7717e+00 +1.2876e+00 +3.0274e-01 -4.1975e+00 -9.8005e-01 +3.6445e+00 +3.2026e+00 +6.4253e+00 +7.0093e-01 -3.4536e+00 -3.9118e+00 +5.2075e+00 +5.4639e+00 -1.6081e+00
3087 +2.992710078e+01 +2.992710078e+01 -2.242289922e+01 -2.242289922e+01 +1.5271e+00 -1.1972e+00 -2.9702e+00 +1.9599e+00 +1.9918e+00 +4.2659e+00 -3.9794e+00 +1.2507e+00 +1.2084e+00 -5.4210e+00 -6.3113e-01 +1.8306e+00 +1.5433e+00 +5.4261e+00 +9.0451e-01 -2.7222e+00 -2.8547e+00 +4.4683e+00 +4.6773e+00 -1.5635e+00
3196 +2.657636848e+01 +2.657636848e+01 -2.577363152e+01 -2.577363152e+01 +3.4119e+00 -2.0842e+00 -8.1552e-01 +1.0618e+00 +2.1495e+00 +3.9287e+00 -4.6987e+00 +1.3666e+00 +3.1845e+00 -2.5421e+00 -9.6103e-01 +2.0673e+00 +1.2816e+00 -1.2302e+00 -3.9458e+00 -1.2989e+00 -2.9007e+00 +5.1634e+00 +6.2169e+00 -2.5707e+00
3477 +2.423121516e+01 +2.423121516e+01 -2.811878484e+01 -2.811878484e+01 +2.6382e+00 -1.3665e+00 +1.7899e+00 +1.3495e-01 +1.6983e+00 +5.3221e+00 -3.3663e+00 +8.5912e-01 +1.2441e+00 -6.8041e-01 +1.7182e+00 +1.3292e+00 +1.9504e+00 +1.2204e+00 -1.4211e+00 -3.2165e+00 -3.2629e+00 +2.8783e+00 +5.6936e+00 -1.7290e+00
3702 +2.253717130e+01 +2.253717130e+01 -2.981282870e+01 -2.981282870e+01 +4.9556e+00 +8.2936e-01 -2.7470e+00 -3.8538e-01 +1.2952e+00 +3.6375e+00 -3.7548e+00 -3.8038e-01 +3.6168e+00 -2.7790e+00 +1.4036e+00 -1.3829e+00 +3.7004e+00 +3.3042e-01 +2.7256e-02 -4.4667e+00 -8.8846e-01 +2.7762e+00 +7.4543e+00 -2.3831e+00
5095 +1.972548329e+01 +1.972548329e+01 -3.262451671e+01 -3.262451671e+01 +3.1772e+00 -1.2716e+00 -2.4349e+00 +8.1578e-01 -7.5516e-01 +3.3686e+00 -4.4782e+00 -3.4463e+00 +2.9828e-02 -1.8504e+00 +5.2576e-01 +9.6840e-01 +1.6476e+00 +1.8685e+00 +4.0215e+00 -1.2512e+00 -5.6132e+00 +1.9211e+00 +3.8978e+00 -4.0453e+00
5644 +1.909291065e+01 +1.909291065e+01 -3.325708935e+01 -3.325708935e+01 +2.1200e+00 -1.2560e+00 -1.4762e+00 -1.6268e+00 -3.0332e+00 +2.7690e+00 -6.6494e+00 -3.7319e+00 +1.6201e+00 -2.6825e+00 +1.2149e+00 +8.1545e-01 +3.6464e+00 +2.7572e+00 +5.1080e+00 -3.0344e+00 -2.5417e+00 +1.8743e-01 +3.2290e+00 +5.5442e-02
8368 +1.896834749e+01 +1.896834749e+01 -3.338165251e+01 -3.338165251e+01 -1.3464e+00 +6.1612e-01 -3.8292e+00 +7.6254e-03 -1.7932e+00 +2.9965e+00 -6.9489e+00 -2.6721e+00 -4.9026e-02 -4.4394e+00 +3.4694e+00 +4.9801e+00 +4.9601e+00 +2.1640e+00 +6.2906e-01 -1.6962e+00 -2.2631e+00 +2.1039e+00 +3.8681e+00 -3.5930e+00
