% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.396983841e+02 +6.396983841e+02 +1.776083841e+02 +1.776083841e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2788 +6.184166491e+02 +6.184166491e+02 +1.563266491e+02 +1.563266491e+02 -3.3385e-01 +4.6368e-02 +2.4048e+00 -1.8183e+00 +3.1981e+00 -7.9264e-02 -2.3329e+00 +3.5552e+00 -3.1186e+00 +6.8149e-03 -1.1485e+00 -1.4717e+00 +3.2941e-01 -2.5094e+00 -1.6980e-01 -5.3743e+00 -1.9820e+00 +4.3498e+00 +2.5386e+00 -7.2706e-01
2873 +6.010877755e+02 +6.010877755e+02 +1.389977755e+02 +1.389977755e+02 -1.0043e-01 +2.5823e+00 +2.9783e+00 -1.0298e+00 +3.1813e+00 -3.5736e-01 +4.8888e-02 +3.1931e+00 -2.0360e+00 -3.9825e-01 -8.8780e-01 -6.3426e-01 -1.9604e+00 -1.5968e+00 -7.2713e-01 -3.0781e+00 -1.6451e+00 +2.6022e+00 +1.5918e+00 +2.6334e+00
3027 +5.479406757e+02 +5.479406757e+02 +8.585067570e+01 +8.585067570e+01 +1.3021e+00 -3.6885e+00 +2.5133e+00 -1.9006e+00 +3.0265e+00 +1.1789e+00 -2.1016e+00 +1.7885e+00 +1.8664e+00 -4.0294e-02 -7.5273e-01 -1.1551e+00 -1.0224e+00 -2.5109e+00 -1.7129e-02 -4.7149e+00 -1.2542e+00 +2.3662e+00 +1.8393e+00 -1.6029e-01
3131 +5.177199586e+02 +5.177199586e+02 +5.562995865e+01 +5.562995865e+01 -2.8259e-01 +5.0460e+00 +2.2663e+00 -5.0642e-01 +2.2048e+00 -8.7640e-02 -3.9976e-01 +3.3408e+00 -9.3126e-01 +3.5841e-01 -4.9898e-01 -2.6195e+00 -4.3734e+00 -1.2880e+00 -1.0328e+00 -1.9787e+00 -1.5646e+00 +2.9545e+00 +1.6035e+00 +2.3743e-02
3219 +4.715659175e+02 +4.715659175e+02 +9.475917536e+00 +9.475917536e+00 -1.2387e+00 +8.2583e-01 +2.7144e+00 -1.0373e+00 +2.4584e+00 -1.5786e+00 -1.0424e+00 +3.2195e+00 -2.0181e+00 -2.5091e-02 -7.4632e-01 -1.1635e+00 -4.1234e-01 -2.2119e+00 -1.2178e+00 -3.0810e+00 -2.4166e+00 +2.6600e+00 +1.9229e+00 +2.1825e+00
3467 +4.652139448e+02 +4.652139448e+02 +3.123944766e+00 +3.123944766e+00 -1.0315e-01 -1.9902e+00 +2.7044e+00 -7.3353e-01 +2.6190e+00 -1.8134e+00 -1.2619e+00 +2.0246e+00 -3.2752e-01 +7.8081e-01 +1.4609e+00 -2.0566e+00 -1.8129e+00 -2.6793e+00 -7.1449e-01 -3.0316e+00 -2.0463e+00 +1.6006e+00 +1.8428e+00 +1.5559e+00
3509 +4.510032293e+02 +4.510032293e+02 -1.108677066e+01 -1.108677066e+01 +3.2913e-01 +4.1267e+00 +2.6504e+00 -1.6961e+00 +2.4005e+00 -2.1446e+00 -7.1553e-01 +3.2472e+00 -1.8123e+00 +6.4016e-01 -2.1055e-01 -1.6403e+00 -8.0537e-01 -2.3288e+00 -1.4339e-01 -1.6927e+00 -1.6124e+00 +3.1051e+00 +1.3010e+00 +1.5754e+00
3516 +4.288849118e+02 +4.288849118e+02 -3.320508816e+01 -3.320508816e+01 -5.6657e-01 +2.3942e+00 +2.3265e+00 -1.6126e+00 +2.0088e+00 -2.6412e+00 -6.3398e-01 +3.0420e+00 -7.1126e-01 -1.1005e+00 +3.8489e-01 -2.5109e+00 -1.5836e+00 -3.4626e+00 -9.8399e-01 -2.8387e+00 -1.3439e+00 +3.4188e+00 +1.8847e+00 +3.6827e-01
3537 +3.737189624e+02 +3.737189624e+02 -8.837103763e+01 -8.837103763e+01 +1.6444e+00 +2.7591e-01 +2.5833e+00 -1.0189e+00 +1.8670e+00 -3.4763e-01 +6.2859e-01 +1.7728e+00 -1.2404e+00 +1.3988e+00 +4.1243e-01 -2.0713e+00 -1.7971e+00 -2.0377e+00 -7.7270e-01 -2.3013e+00 -1.9864e+00 +3.1975e+00 +1.9470e+00 +6.4774e-01
