% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.287602554e+01 +8.287602554e+01 -9.171239745e+02 -9.171239745e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
1755 +8.127020303e+01 +8.127020303e+01 -9.187297970e+02 -9.187297970e+02 -4.2308e+00 -1.5468e+00 -7.9765e-01 +2.5856e+00 +4.1067e+00 -3.1819e+00 -1.5788e+00 -3.8740e+00 -1.7679e+00 -5.1617e-01 +1.6912e+00 -1.2344e+00 -4.2533e-01 -4.1806e+00 -3.1078e-01 -2.7364e+00 +5.6881e-01 -2.4829e+00 -4.4576e-01 -1.4269e+00
1830 +7.937410739e+01 +7.937410739e+01 -9.206258926e+02 -9.206258926e+02 -4.2419e+00 -2.4458e+00 +8.5167e-01 +2.6139e+00 +4.1064e+00 -3.1150e+00 -1.9705e+00 -3.9466e+00 -1.7826e+00 +9.8190e-01 +2.5855e+00 -1.9215e+00 -3.3596e-01 -4.0560e+00 -3.8645e+00 -3.6299e+00 +9.8153e-01 -2.5760e+00 -4.4628e-01 -9.5262e-01
2082 +7.659929536e+01 +7.659929536e+01 -9.234007046e+02 -9.234007046e+02 -4.2059e+00 -2.8219e+00 -6.0106e-01 +2.5854e+00 +4.1012e+00 -2.6939e+00 -1.6207e+00 -4.0684e+00 -1.8236e-01 +8.5182e-01 +4.5584e+00 -2.5884e+00 -4.2715e-01 -3.7849e+00 -3.0899e+00 -2.3744e+00 +1.6754e+00 -2.4815e+00 -4.4350e-01 -1.6037e+00
2152 +7.545428534e+01 +7.545428534e+01 -9.245457147e+02 -9.245457147e+02 -4.2517e+00 -1.5455e+00 -4.3843e-01 +2.6078e+00 +4.1016e+00 -2.9613e+00 -1.1389e-01 -3.5077e+00 +2.2015e+00 +3.6496e+00 +3.1557e+00 -3.8056e+00 -4.0085e-01 -3.4804e+00 -1.7342e+00 -2.6838e+00 +2.2521e+00 -2.0719e+00 -4.3530e-01 -5.6203e-01
2529 +7.366575615e+01 +7.366575615e+01 -9.263342438e+02 -9.263342438e+02 -4.2537e+00 -2.2546e+00 -1.3309e-01 +2.5923e+00 +4.1008e+00 -2.6215e+00 -8.3522e-01 -4.0046e+00 +4.5353e-01 +1.7161e+00 +2.8033e+00 -1.2172e+00 -3.9646e-01 -3.2123e+00 -1.4405e+00 -3.2193e+00 +2.0261e+00 -1.6583e+00 -4.2813e-01 -1.7177e+00
2584 +7.242648801e+01 +7.242648801e+01 -9.275735120e+02 -9.275735120e+02 -4.2541e+00 -2.2941e+00 -3.6981e-01 +2.5772e+00 +4.1042e+00 -3.7048e+00 +1.2898e-01 -4.1285e+00 +1.7995e+00 +3.3147e+00 +3.6958e+00 -2.2205e+00 -4.0268e-01 -2.2616e+00 -2.0916e+00 -2.7555e+00 +2.1850e+00 -1.7114e+00 -4.8451e-01 -1.6441e+00
3148 +7.074233160e+01 +7.074233160e+01 -9.292576684e+02 -9.292576684e+02 -4.2218e+00 -8.4824e-01 +8.6499e-01 +2.5760e+00 +4.1249e+00 -3.2623e+00 -9.4571e-01 -4.4745e+00 +1.7599e+00 +1.7763e+00 +4.5559e+00 -2.1578e+00 -3.1876e-01 -1.8700e+00 -7.0220e-01 -3.9392e+00 +2.2819e+00 -1.8116e+00 -4.2989e-01 -2.0743e+00
3780 +6.908994623e+01 +6.908994623e+01 -9.309100538e+02 -9.309100538e+02 -4.2466e+00 -1.7959e+00 +1.8130e+00 +2.4447e+00 +4.0994e+00 -3.7507e+00 -1.5610e+00 -4.7295e+00 +3.2311e+00 +2.5355e+00 +4.1261e+00 -1.7228e+00 +3.8245e-01 -2.5294e+00 -1.7812e+00 -3.0693e+00 +2.2085e+00 -9.9389e-01 -2.5751e-01 -2.2528e+00
4189 +6.382284057e+01 +6.382284057e+01 -9.361771594e+02 -9.361771594e+02 -3.9811e+00 -2.2284e+00 +1.4312e-01 +8.5195e-01 +4.0944e+00 -3.5891e+00 -1.4655e+00 -4.2449e+00 +1.3012e+00 +2.3963e+00 +3.2082e+00 -1.1001e+00 +2.2370e-02 -4.8956e-01 +2.5312e-01 -3.3849e+00 +3.1298e+00 -1.2646e+00 -3.6693e-01 -2.2853e+00
