% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.581765120e+02 +1.581765120e+02 +1.412365120e+02 +1.412365120e+02 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00 +0.0000e+00
2580 +1.399154773e+02 +1.399154773e+02 +1.229754773e+02 +1.229754773e+02 -2.3567e+00 -2.2890e+00 -1.2718e+00 -4.5526e+00 +2.6476e+00 +3.7987e+00 +5.4129e+00 +3.0019e+00 -1.5502e+00 +2.5352e+00 -1.8914e+00 -2.7613e+00 +3.8397e+00 -2.4852e+00 -1.7117e-01 -3.1346e+00 +2.2312e+00 +2.5047e-01 -4.7438e+00 -2.3939e+00
2726 +1.203350741e+02 +1.203350741e+02 +1.033950741e+02 +1.033950741e+02 -2.1915e+00 -4.7115e+00 -1.8462e+00 -5.6027e+00 +1.9752e+00 +2.1943e+00 +5.3407e+00 +4.1346e+00 -2.4384e+00 +1.5545e+00 -2.0927e+00 -5.4134e+00 +3.3922e+00 -2.5449e+00 -1.0096e+00 -7.3117e-01 +2.3727e+00 +3.1918e-01 -4.7750e+00 -3.5375e+00
2804 +8.031622413e+01 +8.031622413e+01 +6.337622413e+01 +6.337622413e+01 -3.2938e+00 -2.6441e-01 -1.3751e+00 -4.3186e+00 +3.5947e+00 +2.8739e+00 +3.5696e+00 +3.2305e+00 +1.1176e+00 -4.6986e+00 -1.9914e+00 -3.6779e-01 -7.4367e-01 -3.7507e+00 -5.4015e-01 +6.6054e+00 +3.0397e+00 -2.5056e+00 -3.6018e+00 -1.5381e+00
2896 +6.454031629e+01 +6.454031629e+01 +4.760031629e+01 +4.760031629e+01 -2.2734e+00 -3.7026e+00 -8.7788e-01 -5.2077e+00 +4.4787e+00 +1.0584e+00 +2.2756e+00 +3.2430e+00 -8.6475e-01 +1.6408e+00 +1.4308e+00 -1.6058e+00 +4.2595e+00 -2.5837e+00 -7.9572e-01 -1.5491e+00 +2.1954e+00 +3.0717e-01 -4.1588e+00 -2.5007e+00
3047 +5.041254745e+01 +5.041254745e+01 +3.347254745e+01 +3.347254745e+01 -1.9551e+00 -3.5995e+00 +5.0291e-01 -2.1917e+00 +4.7167e+00 +4.4166e+00 +2.9628e+00 +1.3387e+00 -2.5200e+00 -2.5642e+00 -1.5486e+00 +5.3725e-01 +2.6113e+00 -2.6225e+00 +9.4154e-01 +4.7333e+00 +2.5204e+00 +3.6623e-01 -4.8014e+00 -3.4284e+00
3432 +4.987382884e+01 +4.987382884e+01 +3.293382884e+01 +3.293382884e+01 -1.1143e+00 -3.9141e+00 -8.0246e-01 -2.5693e+00 +2.7552e+00 +1.5253e+00 +2.9207e+00 +2.5331e+00 -2.2883e+00 -2.6131e+00 +6.0401e-01 -1.2714e+00 -1.3641e-01 -2.9253e+00 +1.8041e+00 +2.6960e+00 +2.4940e+00 +7.8190e-01 -4.5925e+00 -2.1641e+00
3651 +4.680101728e+01 +4.680101728e+01 +2.986101728e+01 +2.986101728e+01 -2.1063e+00 -1.3081e+00 +1.6067e+00 +6.8153e-02 +5.0854e+00 +2.3343e+00 +4.9011e+00 +2.3213e+00 -2.8060e+00 -1.3260e+00 +5.1443e+00 -3.8523e+00 +6.2041e-01 -2.4338e+00 +1.5963e+00 -1.5733e+00 +3.6862e+00 +1.8092e+00 -3.3293e+00 -2.9384e+00
3859 +4.501786010e+01 +4.501786010e+01 +2.807786010e+01 +2.807786010e+01 -9.8551e-01 +3.6590e-02 -1.2314e+00 -7.2635e-01 +5.1236e+00 +2.0772e+00 +4.7989e-01 +1.5368e+00 -6.4217e-01 -1.4477e+00 +4.8679e+00 +2.7778e+00 -3.6886e-01 +3.4686e+00 +2.1438e+00 +5.1268e+00 +2.3377e+00 +2.1192e+00 -3.6300e+00 -1.9433e+00
4053 +3.762173478e+01 +3.762173478e+01 +2.068173478e+01 +2.068173478e+01 +3.1701e+00 +1.5551e+00 -8.8110e-01 -1.4288e+00 +4.5912e+00 +2.6940e+00 +2.2651e+00 +1.7466e+00 -3.0071e+00 -2.2260e+00 +1.1022e+00 -9.5225e-01 +1.8034e+00 -1.5076e+00 +1.9524e+00 +4.3835e+00 +2.9015e+00 +3.5064e-01 -3.3746e+00 -1.9278e+00
4241 +3.281360063e+01 +3.281360063e+01 +1.587360063e+01 +1.587360063e+01 -1.2039e+00 +2.2631e-01 -2.7697e-01 -1.2541e+00 +3.1698e+00 +2.0251e+00 +2.5056e+00 -2.0597e+00 -2.4198e+00 -2.0379e+00 +1.5559e+00 -7.3651e-01 +1.7703e+00 -1.3217e+00 -5.6412e-01 -4.1606e-01 +2.8205e+00 +2.0978e+00 -3.3267e+00 -1.8849e+00
5272 +2.997356360e+01 +2.997356360e+01 +1.303356360e+01 +1.303356360e+01 +6.1884e-01 -3.7773e-01 -2.4428e+00 -1.0834e+00 +1.5009e+00 +4.8347e-01 +4.9404e+00 -2.1733e+00 -1.5484e+00 -1.4883e+00 +3.4576e+00 +2.8129e-01 -5.7063e-01 -1.5769e+00 +1.6936e+00 +1.8295e+00 +2.6003e+00 +2.6858e+00 -9.8798e-01 -4.8355e-01
